DT,GR,NPHI,RHOB,RT,DEPTH
,4.3,,,,188.5
,3.801,,,,188.6
,4.301,,,,188.7
,4.6,,,,188.8
,4.599,,,,188.9
,4.299,,,,189.0
,3.801,,,,189.1
,4.1,,,,189.2
,4.302,,,,189.3
,5.201,,,,189.4
,5.699,,,,189.5
,5.299,,,,189.6
,4.598,,,,189.7
,3.502,,,,189.8
,4.501,,,,189.9
,5.098,,,,190.0
,4.1,,,,190.1
,4.002,,,,190.2
,5.101,,,,190.3
,,,,,190.4
,,,,,190.5
,,,,,190.6
,,,,,190.7
,,,,,190.8
,,,,,190.9
,,,,,191.0
,,,,,191.1
,,,,,191.2
,,,,,191.3
,,,,,191.4
,,,,,191.5
,,,,,191.6
,,,,,191.7
,,,,,191.8
,,,,,191.9
,,,,,192.0
,,,,,192.1
,,,,,192.2
,,,,,192.3
,,,,,192.4
,,,,,192.5
,,,,,192.6
,,,,,192.7
,,,,,192.8
,,,,,192.9
,,,,,193.0
,,,,,193.1
,,,,,193.2
,,,,,193.3
,,,,,193.4
,,,,,193.5
,,,,,193.6
,,,,,193.7
,,,,,193.8
,,,,,193.9
,,,,,194.0
,,,,,194.1
,5.699,,,,194.2
,5.401,,,,194.3
,5.7,,,,194.4
,5.8,,,,194.5
,5.599,,,,194.6
,4.899,,,,194.7
,4.602,,,,194.8
,5.402,,,,194.9
,6.297,,,,195.0
,4.895,,,,195.1
,2.6,,,,195.2
,2.601,,,,195.3
,3.301,,,,195.4
,3.601,,,,195.5
,4.101,,,,195.6
,4.799,,,,195.7
,4.399,,,,195.8
,3.9,,,,195.9
,3.8,,,,196.0
,3.7,,,,196.1
,3.901,,,,196.2
,4.3,,,,196.3
,4.4,,,,196.4
,4.499,,,,196.5
,4.201,,,,196.6
,4.501,,,,196.7
,4.9,,,,196.8
,4.799,,,,196.9
,4.501,,,,197.0
,5.099,,,,197.1
,4.702,,,,197.2
,5.801,,,,197.3
,6.499,,,,197.4
,6.098,,,,197.5
,5.198,,,,197.6
,4.002,,,,197.7
,4.802,,,,197.8
,5.599,,,,197.9
,5.3,,,,198.0
,5.099,,,,198.1
,4.698,,,,198.2
,3.5,,,,198.3
,3.402,,,,198.4
,4.501,,,,198.5
,4.899,,,,198.6
,4.199,,,,198.7
,3.9,,,,198.8
,3.7,,,,198.9
,3.602,,,,199.0
,4.401,,,,199.1
,4.999,,,,199.2
,4.7,,,,199.3
,4.499,,,,199.4
,3.999,,,,199.5
,3.401,,,,199.6
,3.901,,,,199.7
,4.5,,,,199.8
,4.601,,,,199.9
,4.898,,,,200.0
,4.096,,,,200.1
,2.101,,,,200.2
,2.604,,,,200.3
,4.8,,,,200.4
,5.0,,,,200.5
,5.0,,,,200.6
,5.0,,,,200.7
,5.0,,,,200.8
,5.0,,,,200.9
,5.1,,,,201.0
,5.299,,,,201.1
,4.899,,,,201.2
,4.501,,,,201.3
,4.801,,,,201.4
,5.4,,,,201.5
,5.501,,,,201.6
,5.9,,,,201.7
,6.001,,,,201.8
,6.501,,,,201.9
,6.798,,,,202.0
